NPI,Segment
1598719478,
1740280379,Community
1932106572,Community
1588775241,Community
1073603635,Unstructured Experts
1255423356,Established Experts
1568552719,Community
1376561464,Community
1356336424,Unstructured Experts
1114983467,Community
1740398320,Community
1841295649,Community
1639164130,Rising Stars
1356324495,Community
1710933080,Community
1578676490,Community
1831112689,Community
1407968910,Community
1528094927,Community
1952318776,Unstructured Experts
1336114545,Community
1033289020,Community
1982629655,Community
1154327468,Community
1841257078,Community
1023128345,Community
1285681486,Unstructured Experts
1255388674,Rising Stars
1548227747,Community
1598875619,Community
1386635860,Community
1427012533,Community
1841214939,
1346245115,Community
1740399781,
1205940939,Community
1295707131,Community
1154314052,
1073543567,Community
1508827098,Community
1619920352,Community
1902902620,
1538262670,Community
1881764454,Rising Stars
1932112208,Unstructured Experts
1669424925,Community
1104977453,Community
1881609741,Community
1043286065,Rising Stars
1629009352,Community
1497738975,
1144280637,
1376649269,Community
1528045804,Big 3
1659339422,Established Experts
1063496438,Community
1801991351,Community
1619934338,Unstructured Experts
1710067111,
1730180795,Community
1164478947,Community
1619928272,Community
1306873864,Community
1144297318,Community
1033282900,Community
1598780991,Unstructured Experts
1134147853,Community
1902042278,
1801848668,Community
1396710380,Community
1134152218,Unstructured Experts
1497839575,
1952304560,Community
1811932643,Community
1912913211,
1326086182,
1235198698,Community
1881687457,Community
1497787659,
1649252743,Community
1942302799,Community
1023016169,Community
1063411825,Community
1356314173,Unstructured Experts
1235235516,Community
1134213150,Established Experts
1417910910,Community
1073514113,Community
1255322798,Community
1316920846,Rising Stars
1861487449,Community
1124026554,Community
1457356016,Community
1952403677,Community
1003870650,
1386687002,Community
1487644001,Community
1881667905,
1922056274,Community
1366455206,
1568535953,
1144267261,
1538155965,Community
1871574947,Community
1053489864,Community
1780652230,
1851402556,Community
1295733731,Community
1245257971,Community
1225089097,Community
1285757112,Community
1871593335,Community
1942304167,Community
1730281544,Community
1841292299,Community
1477571974,Community
1215038567,Community
1013993096,
1699763375,Community
1427039494,Community
1598845901,Community
1881622405,Community
1033194287,Community
1336116938,Community
1164515011,Community
1952304743,Community
1063406965,Community
1316063423,Community
1902892367,Community
1902801871,Community
1285610402,
1447369095,Community
1922045095,Community
1104928399,Community
1548263635,Community
1548366743,Community
1306936794,Community
1952485443,Community
1396879193,Unstructured Experts
1457368292,
1265463129,
1881694651,Community
1851357313,Community
1235232539,Community
1598767808,Community
1639164064,Community
1053313411,
1588629166,
1144317272,Unstructured Experts
1780660308,Community
1992791388,Community
1356397699,Community
1528051166,Community
1033119987,Community
1144319104,Community
1013973163,
1902867294,Community
1548258742,Community
1801873542,Community
1235136243,Community
1447295217,Unstructured Experts
1649294182,Community
1730112640,Community
1376516856,
1730110487,Community
1699770578,Community
1306848130,Community
1285653543,Community
1518929140,Community
1528031903,Big 3
1215009410,Community
1881795912,Community
1154323582,Community
1407843402,Community
1962556548,
1962510800,Community
1154329472,Unstructured Experts
1285669077,Community
1942242482,Community
1275559619,Unstructured Experts
1255316766,
1043253792,Community
1679675813,Community
1235148743,Community
1932174273,Community
1295817096,
1407908593,Community
1023015245,Rising Stars
1215921630,Community
1922030592,Unstructured Experts
1952384000,
1508940644,Community
1548368624,
1972554400,Community
1902824725,Community
1740245539,Community
1265549042,Community
1902801103,Rising Stars
1790748192,Community
1609934264,
1649356593,Unstructured Experts
1114961687,Rising Stars
1457325300,Community
1578697785,Community
1285620641,Community
1942237862,Community
1508832346,Community
1477544682,
1073598017,Community
1780676742,Community
1184619587,Community
1578540654,Community
1245294180,
1285661256,
1447324744,Unstructured Experts
1962455527,
1487641528,Community
1396823142,
1134186570,
1477546976,Community
1003846346,Big 3
1568420503,Community
1073621033,Community
1356348122,Community
1003905712,Community
1275517757,Community
1922082460,Established Experts
1811001894,Unstructured Experts
1548334576,Unstructured Experts
1255446506,Community
1043245913,Community
1538282736,Community
1326043266,Community
1861444366,Rising Stars
1902868490,Community
1336243526,
1003858028,Community
1972573707,
1922199934,Community
1841388444,Community
1891786067,Community
1053370759,Community
1780628388,Community
1013011394,Community
1295708212,
1336244029,Community
1851376891,Community
1740361005,Established Experts
1982629788,Unstructured Experts
1336230945,Community
1992895593,Unstructured Experts
1356454227,Community
1700999893,
1134140999,Community
1053318121,Community
1003989344,Rising Stars
1639289838,Community
1922015262,Community
1922027325,Community
1558360164,Community
1336145135,Community
1548218522,Community
1366530107,Rising Stars
1952447955,Community
1790743573,Community
1497789143,Rising Stars
1316977846,
1457413643,Established Experts
1679570071,Community
1295705994,Community
1962473314,Community
1801868757,Community
1801836887,Big 3
1447223151,
1932193877,Community
1992700728,
1801852876,Community
1881733608,Established Experts
1801827308,Big 3
1760599955,Community
1811922149,Community
1134102106,Community
1659349272,Community
1104990035,Community
1740236975,Community
1659343549,Community
1790865970,Community
1992772156,Community
1841371507,Community
1891893541,Community
1891887543,Community
1518913672,Unstructured Experts
1285694661,Unstructured Experts
1528142346,Community
1609869890,Unstructured Experts
1538139373,Rising Stars
1144248519,Rising Stars
1013902444,Unstructured Experts
1457365595,Unstructured Experts
1578683967,Unstructured Experts
1851463145,Community
1053308429,Unstructured Experts
1518042092,Community
1972543098,Unstructured Experts
1457309064,Community
1386670768,Unstructured Experts
1326018227,Community
1528074648,Community
1346249794,Community
1508818071,Community
1013994839,Community
1669450375,Unstructured Experts
1518927441,Rising Stars
1477581817,Community
1467452979,Unstructured Experts
1558328609,Community
1699735928,Community
1699772913,Community
1144302027,Community
1295703577,Community
1053305920,Community
1891757019,Community
1548252927,Community
1700886801,Community
1336249341,Community
1215900261,Community
1285678664,Community
1376512053,Community
1447218466,Community
1275501850,Community
1649231457,Community
1235197997,Community
1710953419,Rising Stars
1811964224,Community
1841290053,Community
1700857042,Community
1083684344,Community
1104880699,Community
1508887167,Established Experts
1811072606,Community
1548321714,Community
1801986278,Rising Stars
1780787820,Community
1831166180,
1922034925,Community
1164474920,Community
1952436198,Unstructured Experts
1285685412,Community
1720038342,Community
1174592356,Community
1336170653,Unstructured Experts
1225003361,Community
1285677658,Community
1043299639,Community
1508868860,Community
1942237094,Community
1043256258,Community
1962434092,Community
1841281243,
1851378194,Community
1154439107,Community
1003893868,Community
1518922509,Community
1295763571,Community
1639164528,Community
1891892089,Community
1215048673,Community
1073590410,Established Experts
1760599641,Community
1669651766,
1518912294,Community
1285604504,
1952398273,Community
1013972074,Established Experts
1477504025,Community
1558357491,Community
1588674253,Community
1336271733,Community
1184758716,Community
1659336832,Community
1821086752,
1457332488,Community
1740278399,Community
1316934714,Community
1114905312,Community
1396734851,Community
1114963634,Community
1376561985,
1720188196,Community
1891798807,Community
1144230962,
1275597775,Community
1750359543,Community
1831175215,Community
1710916176,Community
1972524122,
1831267459,Community
1639234073,Unstructured Experts
1881722924,Unstructured Experts
1356388508,Unstructured Experts
1891759544,Rising Stars
1518949551,Community
1043232523,Unstructured Experts
1659335388,Rising Stars
1437192317,Community
1396853180,Big 3
1366407355,Unstructured Experts
1043371693,Unstructured Experts
1013024728,Community
1073571899,Community
1174525356,
1649342817,Community
1538159207,Community
1972593440,
1356393102,Community
1639147895,Unstructured Experts
1275612871,Community
1134189053,Community
1174500011,Unstructured Experts
1992783872,
1447298500,Unstructured Experts
1164415626,Unstructured Experts
1396893137,Community
1851340012,Community
1578534699,Unstructured Experts
1871584573,Community
1689653701,Community
1952393332,Unstructured Experts
1114939469,
1467485748,Community
1992793863,Community
1114015674,Community
1093714040,Community
1831162197,Community
1134102254,Community
1164458162,Community
1215969415,Community
1750382842,
1114957156,Unstructured Experts
1083621148,Unstructured Experts
1114015351,Community
1871507541,Unstructured Experts
1477558096,Community
1003891987,Unstructured Experts
1083720767,Community
1962400382,
1518984293,Community
1205983368,Community
1811983869,Community
1225056732,Community
1508850462,
1366438061,Community
1043218225,Community
1164411161,
1942220637,Community
1598765893,Community
1760586002,Community
1356386932,Community
1881752939,Community
1700846649,Rising Stars
1255333605,Community
1700963014,Community
1316039811,Community
1902893019,Community
1023005147,Community
1740363183,Community
1477637437,Community
1548340946,Community
1457307209,Community
1083794341,Community
1649272089,Community
1639140783,Community
1568464196,Community
1093871758,Unstructured Experts
1235219643,Community
1821078387,Community
1104886571,Community
1578597423,Community
1073582904,Community
1093786709,Community
1407842826,Community
1922013481,Rising Stars
1689766867,Rising Stars
1710999297,Community
1841256989,Community
1922183060,Community
1548276009,Community
1114910163,Community
1548302243,
1023118205,Community
1740207737,Community
1750450615,Community
1770505299,Community
1013941962,Community
1508861634,Community
1750340345,Community
1487605242,Community
1689660037,Community
1003996828,Community
1144252388,Community
1063434223,Community
1629161260,Community
1952409138,Rising Stars
1235167107,Rising Stars
1407835952,
1861425845,Community
1750360889,Community
1750380762,Community
1417014036,Community
1306905088,Community
1255331161,Community
1649272832,Community
1023030582,Community
1871694315,Community
1023097383,Community
1396703435,Established Experts
1508866443,Community
1801942156,Established Experts
1285772152,Community
1801810353,Community
1093799652,Community
1760485205,Community
1144288523,Community
1104887223,Community
1871508374,Community
1275531865,Community
1568405496,Community
1437277993,Community
1013987981,Community
1851339667,Unstructured Experts
1386719847,Big 3
1457546582,Community
1891865044,Community
1801881586,Community
1679560858,
1649319682,Community
1386737195,Community
1083638464,
1790866895,Community
1861597221,Community
1063509651,Unstructured Experts
1710918255,Community
1730257577,Community
1831168574,
1336112622,
1124005343,Community
1720029010,Community
1588752166,Community
1841282803,Community
1508864927,
1447350640,Community
1184667362,Established Experts
1124068101,Established Experts
1144241803,Big 3
1578673893,Community
1922098623,
1164457412,Community
1841282340,Community
1417984972,Community
1083642474,Community
1982664256,Community
1922020825,Community
1871576058,Community
1598771792,Community
1912074048,Community
1922139195,Community
1326042060,Community
1336139047,Community
1255344321,Community
1386704419,Community
1043301906,Community
1568490274,Community
1972564987,Community
1831195569,Community
1770516478,Community
1982784260,Community
1003874827,
1902818263,Community
1033211826,Community
1629033428,Community
1487615662,Community
1881660223,Community
1598782294,
1982634481,Community
1679527048,Community
1558361923,Community
1407895253,Community
1205804424,Community
1922099324,Community
1225030935,Community
1942229604,Established Experts
1407029069,Community
1295885630,Community
1497815880,Community
1922091958,Community
1508831280,Community
1932270790,Rising Stars
1487700738,Established Experts
1255440228,
1093802589,Community
1275681355,Community
1770555013,Community
1124016712,Community
1710067988,Community
1316911274,Community
1013076678,Community
1427020718,Community
1700857257,Community
1467472761,Community
1881669828,Community
1851379747,Community
1366485583,Community
1629056445,Community
1699703934,Community
1902865587,Community
1952367716,Community
1376558932,Community
1881699676,Unstructured Experts
1013988278,Community
1053344994,Unstructured Experts
1598869687,Community
1689759839,Community
1275635930,Community
1750386199,Unstructured Experts
1326040544,Community
1710971478,Community
1528045994,Community
1962402537,Community
1396700399,Community
1134188279,Rising Stars
1962493445,Community
1053304808,Community
1740272921,Community
1457425514,
1730288416,Rising Stars
1720119068,Big 3
1568482735,Big 3
1134219793,Rising Stars
1306803796,Community
1932154606,
1669446399,Community
1689688830,Community
1952336232,Established Experts
1043304512,Community
1467429787,Unstructured Experts
1841262235,Unstructured Experts
1477560951,Community
1871609404,Community
1619961257,Community
1831182971,Community
1457382772,
1841251808,Rising Stars
1639175409,Community
1194735076,Rising Stars
1831126564,Community
1073690152,Community
1205892346,Community
1982763959,Community
1275504300,Community
1437269990,Community
1699738419,Community
1891785168,Community
1730186404,Community
1225059637,
1508842972,Community
1437113255,Community
1023089182,
1790776045,Community
1154428100,Community
1295763175,Community
1962465583,Community
1568492775,Community
1043278161,Community
1700823721,Community
1306826490,Community
1649267667,Community
1508931171,Community
1790870137,Community
1881703031,Unstructured Experts
1306801568,Community
1629068994,Community
1437232410,Community
1780781211,Community
1336201813,Community
1528106671,Community
1083676795,Community
1487628574,Community
1861574949,Unstructured Experts
1730154618,Community
1659461457,Established Experts
1942240817,Community
1518918879,Community
1649263971,Unstructured Experts
1700827128,Community
1083623979,Community
1518940253,Community
1528154549,Community
1417063389,Community
1295710218,Community
1811998875,Community
1265483390,Community
1457402109,Community
1639136179,Community
1124091806,Big 3
1417916362,Unstructured Experts
1265478192,Community
1053404947,Community
1427097682,Community
1639118839,Community
1407855943,Community
1063427581,Rising Stars
1669462131,Community
1609812387,Community
1013980671,
1073521514,Rising Stars
1851370050,Community
1659368967,Community
1215064134,Community
1457331555,Community
1245240639,Community
1528021912,
1366422099,Community
1245235795,Community
1336135904,Unstructured Experts
1073564373,Rising Stars
1679635874,Unstructured Experts
1124076161,Community
1013972173,Community
1790797454,Community
1780686352,Community
1104813971,Community
1790743508,Big 3
1891701066,Community
1922021864,Community
1861565756,
1487689287,Community
1023048873,Community
1114080744,Unstructured Experts
1477597615,Community
1497796957,Community
1699873745,Big 3
1285653766,Big 3
1578673190,Community
1740238856,
1336231034,Community
1265485684,Community
1366556615,Community
1962428763,Big 3
1114922747,Community
1164484143,Established Experts
1740386325,Community
1548254220,Unstructured Experts
1528053782,Community
1679654669,Unstructured Experts
1518059989,Unstructured Experts
1285687939,Unstructured Experts
1467422923,Community
1962510420,Established Experts
1912995408,Unstructured Experts
1326135591,Established Experts
1427150754,Unstructured Experts
1225045537,
1639123680,Community
1093811572,Unstructured Experts
1487684809,Big 3
1528048402,Big 3
1720140080,Community
1891797098,Community
1831109461,Unstructured Experts
1316026982,Unstructured Experts
1265468334,Unstructured Experts
1629000534,Unstructured Experts
1316991797,Community
1821054222,Community
1285657916,Community
1922196351,Community
1518915057,Community
1568536126,
1053363531,Unstructured Experts
1821026071,Unstructured Experts
1932196433,Community
1134147572,Community
1043218043,Community
1750338026,Big 3
1700869427,Community
1306924220,Community
1881699726,Community
1811985724,Community
1487646659,Community
1659484202,
1487766101,Community
1881654754,Community
1245253095,Big 3
1255317368,Community
1346337417,Community
1902811425,Rising Stars
1770531030,Rising Stars
1306899737,Unstructured Experts
1962462846,Community
1578541207,Rising Stars
1154414225,Rising Stars
1306829015,Community
1255435798,Community
1750375879,
1194733436,Community
1003884529,Community
1609869668,Rising Stars
1598751653,Community
1831152115,Community
1205884285,Community
1639174386,
1053381186,Rising Stars
1902955305,Community
1619989407,Community
1952385361,Rising Stars
1235173709,Community
1104894112,Unstructured Experts
1083673230,Community
1316099963,Community
1114929650,Community
1952395592,Community
1316998131,Community
1215046073,Unstructured Experts
1285614099,Community
1275500092,Unstructured Experts
1710937008,Community
1518044965,Rising Stars
1396962924,Community
1932212354,Community
1134125834,Community
1912918111,Community
1033118146,Community
1669566097,Big 3
1003992991,Unstructured Experts
1649259276,Community
1669585089,Community
1376514596,Community
1962466375,Unstructured Experts
1649381310,
1174683742,Unstructured Experts
1881693877,Community
1780617100,Community
1205881570,Community
1437123247,Unstructured Experts
1134118037,Community
1972530491,Rising Stars
1588751275,Community
1205935632,Unstructured Experts
1770640815,Community
1487622213,Community
1235153743,Big 3
1770577074,Community
1174544308,Community
1649224809,Community
1013008176,
1841233285,Unstructured Experts
1760482707,Unstructured Experts
1124035266,Rising Stars
1013043546,Unstructured Experts
1821020058,Community
1447208343,Community
1538249933,Community
1831194133,Community
1508807793,Unstructured Experts
1114926680,Unstructured Experts
1225089204,Rising Stars
1609821594,Community
1831162205,Community
1609817253,Community
1457315087,Community
1417987413,Community
1497748685,Community
1396844163,
1609839182,Community
1598845935,Community
1215902986,Community
1093805988,Established Experts
1881635522,Community
1609890490,Big 3
1669460218,Unstructured Experts
1396765582,Rising Stars
1053311761,Community
1346254703,Community
1538140900,Community
1659313799,Unstructured Experts
1922011659,Big 3
1548282056,Big 3
1134147994,
1326046830,Community
1699736249,Community
1518913235,Community
1972593630,Community
1447256201,Community
1255548327,Community
1578637674,Community
1902905664,
1477594828,Community
1457466971,Community
1992711741,Community
1477645802,Unstructured Experts
1538160031,Community
1689633901,Community
1417958273,Community
1093762734,Community
1124109483,Community
1104871904,Community
1528049723,Unstructured Experts
1982664280,Community
1578538948,Community
1720085582,Community
1053387902,Community
1316911613,Community
1629002266,Unstructured Experts
1013097419,Community
1891876496,Community
1437217130,Community
1942298708,Community
1225107386,
1245252576,Community
1649240425,Big 3
1104854314,Community
1740246115,Community
1992839716,Unstructured Experts
1588731533,Community
1306865613,Community
1982794871,
1265514582,Community
1649309394,Community
1023103546,Community
1497769855,Community
1821047283,Community
1538138821,Community
1124102843,Established Experts
1578653465,Established Experts
1780666941,Community
1235237074,Community
1275584948,Community
1316027519,Community
1851357305,Community
1548362361,Rising Stars
1932287323,Community
1831190354,Unstructured Experts
1619937141,Community
1548290208,Community
1669524088,Community
1780668285,Community
1396835427,Community
1609831502,Community
1073574463,Rising Stars
1306942776,
1184673261,Community
1003969429,Unstructured Experts
1134235534,Community
1366424525,Unstructured Experts
1922008762,Unstructured Experts
1063506335,Community
1760582712,Community
1710942198,Rising Stars
1275517088,Rising Stars
1043275159,Community
1063429025,Unstructured Experts
1235156969,Community
1720027584,
1669469888,Community
1851319172,Community
1023030657,Community
1487693537,Community
1205811288,Community
1104892405,Rising Stars
1275536088,
1093808941,Established Experts
1912097775,Community
1730111477,Community
1861553794,Unstructured Experts
1487675252,
1568499630,Community
1871595207,Community
1063606317,
1942255005,Community
1174513279,Community
1679596142,Big 3
1588661862,Community
1235134412,Unstructured Experts
1104857796,Community
1962490375,Community
1023007242,Community
1710951009,Community
1992777627,Community
1275564585,Community
1457318032,Community
1437263753,Community
1215926522,Unstructured Experts
1699764175,Community
1619079134,Unstructured Experts
1750384814,Community
1154485811,Community
1750352704,
1821066390,Community
1992763353,Community
1629008123,Community
1023014453,Rising Stars
1396770012,Rising Stars
1770567729,Community
1144266727,Community
1114953841,Community
1104876598,Community
1144224122,Community
1386663656,Community
1831150424,Community
1336118744,Established Experts
1053302307,Community
1356359517,Community
1831200534,Community
1457379000,Community
1265433072,Community
1013918978,Community
1326073917,Community
1548240039,Community
1639269970,Community
1184627903,Community
1255427324,Established Experts
1679597157,Community
1396792644,Rising Stars
1265405724,Rising Stars
1942202114,Unstructured Experts
1962599530,Community
1851495907,Community
1174588131,Rising Stars
1710928296,Community
1346350352,Community
1093752685,
1750364394,Big 3
1437142072,Community
1902897671,Community
1326136854,
1487736906,Unstructured Experts
1720061526,Community
1881663367,Community
1043205966,Unstructured Experts
1588645451,Community
1033136015,Unstructured Experts
1215967765,Community
1821178906,Community
1639111743,Community
1700980307,
1437171295,Community
1922097948,Community
1033114939,Community
1891794525,Community
1457306649,Community
1205894169,Community
1073549176,Community
1609857416,Community
1053404343,Community
1740248236,Community
1184699068,Community
1083659031,Unstructured Experts
1245217355,Community
1700871183,Community
1043312432,Community
1952491516,Rising Stars
1841363322,Community
1013012459,
1811985237,Community
1225063175,Community
1780699595,Community
1659388726,Community
1184619785,Community
1093828378,Community
1306891320,Community
1740211200,Community
1720130156,
1346261963,Community
1508954066,Community
1902805302,Community
1730106543,Community
1518921345,Community
1437150042,Community
1235102930,Community
1548260912,Community
1588620462,Community
1164412383,Community
1679581623,Community
1538178421,Rising Stars
1124019864,Big 3
1447200845,Community
1649379611,
1417979519,Big 3
1356439491,Community
1235193525,Community
1104915875,Community
1508824475,Community
1770692873,Community
1124015045,Unstructured Experts
1841276706,Community
1538152954,
1710948476,
1033219399,Community
1538252804,Unstructured Experts
1356334841,Unstructured Experts
1982679817,Community
1760477608,Unstructured Experts
1508862194,Community
1538243779,Community
1174623839,Community
1720097165,Community
1699712182,Unstructured Experts
1528154606,Community
1043205016,Rising Stars
1922199967,Community
1972613131,Community
1144391145,Community
1801906326,Community
1366452344,Community
1437147030,Community
1306820014,Community
1699767608,Community
1851322200,Community
1427181270,Community
1508834458,Community
1881629376,Community
1548283583,Big 3
1518963552,Community
1902939317,Community
1184621435,Community
1508880618,Rising Stars
1104852128,Community
1114098530,
1376546705,Community
1750355434,Community
1801853965,Community
1295757466,Big 3
1558335695,Rising Stars
1700885290,Community
1700895109,Community
1023067535,
1235111436,Community
1235129982,Unstructured Experts
1104878990,Rising Stars
1619963899,Unstructured Experts
1720080740,Community
1255366977,Community
1730166513,Rising Stars
1740291855,Community
1275581407,Unstructured Experts
1811988181,Big 3
1508885070,Community
1255316626,Community
1811974041,Community
1538167242,Unstructured Experts
1275534067,Community
1801950480,Unstructured Experts
1871532861,Community
1245252790,Big 3
1588631949,Unstructured Experts
1851386221,Community
1366528630,Unstructured Experts
1346269024,Established Experts
1609963396,Community
1578503801,Community
1487643334,Community
1912972811,Community
1669589438,Community
1841275377,Community
1215976170,Community
1598772295,Unstructured Experts
1902819964,Community
1447274840,
1316939911,Community
1023125994,Community
1811999550,Community
1699779660,Community
1528025335,Big 3
1437169737,Community
1326015884,Unstructured Experts
1255372561,Community
1962489856,Community
1093776080,Community
1467496463,Rising Stars
1457399537,Community
1205818101,Community
1003852427,Community
1831281138,Community
1114970597,Community
1205878253,Community
1548257876,Community
1497758908,Community
1700892726,Community
1871522664,
1013981844,Community
1295738458,
1043359292,Community
1104858166,Community
1265438170,Community
1841209541,Community
1740392075,
1326061367,Big 3
1497889588,Unstructured Experts
1376549360,Community
1033269071,Community
1750357257,Community
1306909833,Community
1558303453,Community
1891715140,
1205890548,Community
1164496923,Unstructured Experts
1659371326,Unstructured Experts
1194796169,Community
1376501783,Community
1750315313,Big 3
1154388940,Community
1356342208,Community
1841225620,Community
1710954789,Community
1871539502,Community
1275561169,Unstructured Experts
1528095635,Community
1427148733,Rising Stars
1447259577,Community
1881632602,
1477594042,Community
1174525711,Community
1992885339,Community
1376549626,Community
1073552832,Community
1336244581,Community
1770583494,
1679554133,Community
1740283019,Community
1023150083,
1285635813,Community
1730195983,Unstructured Experts
1174635403,Community
1861434094,Community
1336213503,Community
1124146923,Community
1891713053,Unstructured Experts
1639248255,Unstructured Experts
1881775716,
1336142306,Community
1457347577,Community
1861459497,Community
1588632780,Community
1457326365,Community
1851314629,Community
1205838075,Community
1639248271,Unstructured Experts
1528036506,Big 3
1760591861,Community
1831181304,Community
1487751947,Unstructured Experts
1881688190,Rising Stars
1710944095,Unstructured Experts
1699772699,Community
1417936600,Rising Stars
1851334569,Community
1073581070,Community
1841219797,Community
1033215777,Rising Stars
1962504134,Community
1790732782,Community
1851457691,Community
1336116474,Community
1033273511,Community
1689786055,Community
1912074865,Community
1033193933,Community
1053350983,
1811932940,Rising Stars
1366440042,Community
1093828618,Big 3
1659314326,Unstructured Experts
1730199811,Community
1629194634,Community
1508879123,Community
1508827080,Community
1184613598,Community
1386644144,Community
1548322001,Community
1992766604,Community
1306812037,Community
1063433084,Rising Stars
1760598403,Community
1720183742,Community
1255427076,Rising Stars
1083727051,Community
1205873197,Community
1417054719,Community
1225149404,Community
1942316815,Community
1720073083,Community
1659312205,Community
1043276934,Community
1376517151,Community
1447301700,
1831197672,Community
1033197173,Community
1538177738,Community
1720012875,Community
1962582007,Community
1003840869,Community
1548353121,Community
1205876208,Community
1255490835,
1689752727,Unstructured Experts
1770675365,Community
1942373865,
1982624516,Community
1336129667,Community
1649247115,Community
1588648265,Community
1952403446,
1871673749,Community
1144271404,Rising Stars
1588645741,Community
1700817244,Unstructured Experts
1437100963,
1437114907,Unstructured Experts
1235166349,
1770564197,Community
1245233600,Community
1194710673,Community
1285676551,Community
1780681171,Community
1316914880,
1225066939,Community
1962437590,Community
1831171099,Community
1750358396,Community
1184622714,Community
1396724779,Community
1427006287,Community
1720058043,Unstructured Experts
1326101106,Community
1932196029,Community
1316984503,Community
1598740532,Community
1760439160,Community
1346241999,Community
1053373589,Community
1538116686,Community
1891788121,Community
1336113653,Community
1336232875,Rising Stars
1730283276,Community
1417969841,Community
1407940299,Community
1568553311,Rising Stars
1063564912,Unstructured Experts
1295722999,Unstructured Experts
1346284809,Unstructured Experts
1518964758,Community
1164508438,Established Experts
1033160924,Community
1861499147,Community
1487727541,Community
1801868419,Rising Stars
1588770481,Community
1104865823,Unstructured Experts
1306885876,Community
1720063175,Community
1629020482,Big 3
1992764203,Community
1609870567,Community
1134143605,Community
1275699118,Community
1407837370,Community
1750379459,Unstructured Experts
1396703658,Community
1235160334,
1518993252,Established Experts
1326023045,Community
1255449716,Unstructured Experts
1952377814,Community
1730188475,Community
1801907936,
1801894191,Community
1821040627,Community
1295788461,
1952468860,Community
1801904354,Community
1225021645,Community
1154339455,Community
1750564480,Community
1720022874,Community
1538112024,Community
1417978958,Community
1215023007,Community
1659375616,
1285611525,Community
1043257686,Community
1700984572,Unstructured Experts
1992762058,Community
1083775902,Unstructured Experts
1154406981,Unstructured Experts
1205802808,
1760474894,Community
1417002825,Unstructured Experts
1699742767,Community
1861495558,Unstructured Experts
1235216011,Big 3
1982601779,Community
1609869510,Community
1598715690,Community
1699726711,Rising Stars
1275623837,Community
1205808771,Unstructured Experts
1962596700,Community
1497857635,
1902966070,Rising Stars
1861599748,Rising Stars
1891738811,Rising Stars
1154379188,
1477501633,Community
1851376263,Community
1851343727,Community
1477661908,Community
1396775482,Community
1184711236,Rising Stars
1144204751,
1457308371,Community
1235154121,
1821066416,Community
1558356360,Community
1174525174,Community
1285784439,Community
1215956701,Big 3
1164593927,Rising Stars
1689615114,Community
1477598662,Rising Stars
1871660936,Community
1427103365,Rising Stars
1215033501,Community
1184799751,Community
1225062052,Community
1962519728,Community
1417975905,Community
1609802032,Rising Stars
1760418271,Community
1588601702,
1649387390,Community
1477593366,Community
1851388607,Established Experts
1528148681,Rising Stars
1306871926,
1427069228,Community
